GENE_NAME	DIAB_120	 Ion_001	Ion_005	 Ion_009	 Ion_010	 Ion_011	Ion_011_WT	M-102	M-121	M-128	M-29	M-30	M-105SC	M-105OMAd	 M-105OMS	M-121SCAD	M-121SCS	M-121OMAD	 PO130omad	PO130scad	PO26	PO42	PO48	PO52	PO55	PO11	PO122	PO122OMAD	PO122SCS	PO122OMS	PO122SCAD	PO130OMS	PO130SCS	X105SCAd	X130PO
1/2-SBSRNA4	0	0	6	4	1	1	1	5	1	0	0	2	1	0	0	2	0	0	0	5	9	6	0	0	5	2	0	2	2	20	0	2	2	1	2
A1BG	0	2	0	2	13	0	0	18	6	0	3	2	2	0	4	4	2	0	15	12	16	4	10	1	11	5	22	4	1	7	2	6	16	0	20
A1BG-AS1	0	12	10	7	1	0	0	2	1	0	3	0	12	0	0	0	2	0	8	0	4	4	5	4	7	3	4	0	0	7	1	4	5	0	10
A1CF	1	7	12	22	9	3	2	4	4	1	6	11	2	3	0	8	4	2	4	1	25	4	2	3	6	7	10	2	1	15	3	1	10	1	15
A2LD1	0	1	14	4	7	0	0	2	6	0	7	5	0	1	0	25	6	8	4	30	14	3	6	1	6	3	11	20	1	23	67	8	22	0	15
A2M	3	275	56	448	239	9	8	282	3607	5	66	36	2038	237	1372	1150	5521	220	2633	1922	462	104	42	66	160	231	444	601	8958	17802	1275	8571	4347	3	75
A2ML1	2	3	11	7	8	0	0	1	5	0	7	4	2	3	3	6	1	3	0	2	8	5	5	2	11	2	6	5	1	6	3	2	10	0	5
A2MP1	3	31	1	44	7	0	1	23	51	0	6	7	0	3	0	2	1	2	1	6	27	2	2	3	17	13	21	1	0	7	3	0	28	1	9
A4GALT	0	2	8	2	3	9	9	58	232	0	14	51	21	6	24	66	99	30	69	47	34	31	34	10	28	42	3	16	91	268	78	154	78	12	3
A4GNT	0	0	1	8	1	0	0	1	0	0	0	0	0	0	0	2	0	3	0	3	3	2	1	0	1	0	4	1	1	2	5	0	0	0	3
AA06	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0
AAA1	2	2	15	30	5	3	5	4	7	0	3	7	0	2	1	3	3	6	2	3	16	7	0	1	6	7	2	0	0	7	2	7	18	0	11
AAAS	0	20	16	8	29	24	37	25	147	0	6	7	5	5	8	68	18	61	71	87	35	9	20	13	45	30	68	102	51	101	99	110	92	5	45
AACS	2	1	33	38	7	35	30	8	63	0	9	3	2	7	11	563	21	277	100	194	28	12	19	1	19	24	32	268	147	139	493	101	56	6	32
AACSP1	6	1	3	5	3	0	0	1	1	0	3	2	0	1	0	0	0	0	0	0	4	0	1	1	2	2	1	1	3	1	1	0	6	1	5
AADAC	0	0	0	1	1	0	0	1	28	0	1	3	0	0	0	3	6	1	7	8	1	0	1	0	0	1	1	5	124	152	11	43	42	1	0
AADACL2	0	0	0	0	3	1	0	2	1	1	1	0	0	3	0	2	0	1	0	0	2	0	0	0	0	2	1	2	0	9	0	32	2	0	2
AADACL3	1	3	3	13	2	1	0	3	15	0	0	1	3	1	0	11	0	0	1	11	7	4	7	2	6	0	5	5	0	10	14	1	39	0	18
AADACL4	0	1	0	0	1	1	0	2	1	0	2	1	1	1	0	2	0	0	0	1	5	1	1	0	0	0	0	1	3	1	3	9	1	0	0
AADAT	0	2	5	2	0	5	3	2	28	0	3	0	1	2	0	13	14	2	1	16	4	1	3	1	4	1	0	12	20	10	22	5	3	1	5
AAGAB	10	42	30	36	67	25	27	46	15	1	14	10	52	12	24	67	31	6	43	74	35	6	21	10	32	65	78	47	100	138	111	84	127	0	78
AAK1	11	403	310	295	339	30	20	286	423	13	128	106	168	53	30	329	125	92	280	219	452	147	165	112	397	365	625	254	189	634	273	491	738	23	535
AAMP	13	19	15	24	43	35	24	40	342	23	35	23	29	61	51	341	199	180	214	332	98	28	52	21	53	88	137	325	298	598	564	393	361	1	201
