"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","chromosome_name","percentage_gc_content","entrezgene","hgnc_symbol","hgnc_transcript_name","strand","band","transcript_length"
"A1BG","ENSG00000121410","ENST00000595014","19",0.5583,1,"A1BG","A1BG-002",-1,"q13.43",2301
"A1BG-AS1","ENSG00000268895","ENST00000595302","19",0.5591,503538,"A1BG-AS1","A1BG-AS1-001",1,"q13.43",2130
"A1CF","ENSG00000148584","ENST00000374001","10",0.3624,29974,"A1CF","A1CF-001",-1,"q11.23",9221
"A2M","ENSG00000175899","ENST00000318602","12",0.3718,2,"A2M","A2M-001",-1,"p13.31",4844
"A2ML1","ENSG00000166535","ENST00000299698","12",0.4425,144568,"A2ML1","A2ML1-001",1,"p13.31",5274
"A2MP1","ENSG00000256069","ENST00000566278","12",0.3703,3,"A2MP1","A2MP1-003",-1,"p13.31",4130
"A4GALT","ENSG00000128274","ENST00000401850","22",0.5239,53947,"A4GALT","A4GALT-004",-1,"q13.2",2321
"A4GNT","ENSG00000118017","ENST00000236709","3",0.4265,51146,"A4GNT","A4GNT-001",-1,"q22.3",1771
"AAAS","ENSG00000094914","ENST00000552876","12",0.4939,8086,"AAAS","AAAS-003",-1,"q13.13",2016
"AACS","ENSG00000081760","ENST00000545511","12",0.5122,65985,"AACS","AACS-005",1,"q24.31",6640
"AACSP1","ENSG00000250420","ENST00000503486","5",0.4881,729522,"AACSP1","AACSP1-002",-1,"q35.3",2822
"AADAC","ENSG00000114771","ENST00000232892","3",0.3533,13,"AADAC","AADAC-001",1,"q25.1",1642
"AADACL2","ENSG00000261846","ENST00000576369","HSCHR3_1_CTG2_1",0.353,344752,"AADACL2","AADACL2-002",1,"q25.1",4848
"AADACL3","ENSG00000188984","ENST00000332530","1",0.461,126767,"AADACL3","AADACL3-001",1,"p36.21",3832
"AADACL4","ENSG00000204518","ENST00000376221","1",0.4723,343066,"AADACL4","AADACL4-001",1,"p36.21",1575
"AADAT","ENSG00000109576","ENST00000337664","4",0.3878,51166,"AADAT","AADAT-004",-1,"q33",2261
"AAGAB","ENSG00000103591","ENST00000261880","15",0.3949,79719,"AAGAB","AAGAB-001",-1,"q23",2841
"AAK1","ENSG00000115977","ENST00000409085","2",0.4198,22848,"AAK1","AAK1-001",-1,"p13.3",11345
"AAMP","ENSG00000127837","ENST00000475678","2",0.5653,14,"AAMP","AAMP-004",-1,"q35",2270
"AANAT","ENSG00000129673","ENST00000250615","17",0.5301,15,"AANAT","AANAT-001",1,"q25.1",1913
"AARS","ENSG00000090861","ENST00000261772","16",0.4947,16,"AARS","AARS-001",-1,"q22.1",3477
"AARS2","ENSG00000124608","ENST00000244571","6",0.5466,57505,"AARS2","AARS2-001",-1,"p21.1",3854
"AARSD1","ENSG00000266967","ENST00000427569","17",0.4821,80755,"AARSD1","AARSD1-001",-1,"q21.31",1322
"AASDH","ENSG00000157426","ENST00000205214","4",0.3897,132949,"AASDH","AASDH-001",-1,"q12",3590
"AASDHPPT","ENSG00000149313","ENST00000534152","11",0.3657,60496,"AASDHPPT","AASDHPPT-003",1,"q22.3",5145
"AASS","ENSG00000008311","ENST00000393376","7",0.3648,10157,"AASS","AASS-003",-1,"q31.32",3233
"AATF","ENSG00000108270","ENST00000225402","17",0.4051,26574,"AATF","AATF-001",1,"q12",2141
"AATK","ENSG00000181409","ENST00000326724","17",0.6142,9625,"AATK","AATK-001",-1,"q25.3",5257
"AATK-AS1","ENSG00000225180","ENST00000414089","17",0.5674,388428,"AATK-AS1","AATK-AS1-001",1,"q25.3",1577
"ABAT","ENSG00000183044","ENST00000396600","16",0.4735,18,"ABAT","ABAT-201",1,"p13.2",5586
"ABCA1","ENSG00000165029","ENST00000374736","9",0.4342,19,"ABCA1","ABCA1-002",-1,"q31.1",10494
"ABCA10","ENSG00000154263","ENST00000269081","17",0.3613,10349,"ABCA10","ABCA10-001",-1,"q24.3",6362
"ABCA11P","ENSG00000251595","ENST00000504019","4",0.3969,79963,"ABCA11P","ABCA11P-001",-1,"p16.3",2110
"ABCA12","ENSG00000144452","ENST00000272895","2",0.3718,26154,"ABCA12","ABCA12-001",-1,"q35",9100
"ABCA13","ENSG00000179869","ENST00000435803","7",0.3884,154664,"ABCA13","ABCA13-001",1,"p12.3",17184
"ABCA17P","ENSG00000238098","ENST00000469908","16",0.4385,650655,"ABCA17P","ABCA17P-002",1,"p13.3",4188
"ABCA2","ENSG00000107331","ENST00000265662","9",0.6666,20,"ABCA2","ABCA2-201",-1,"q34.3",8154
"ABCA3","ENSG00000167972","ENST00000301732","16",0.5303,21,"ABCA3","ABCA3-001",-1,"p13.3",6609
"ABCA4","ENSG00000198691","ENST00000370225","1",0.4644,24,"ABCA4","ABCA4-001",-1,"p22.1",7309
"ABCA5","ENSG00000154265","ENST00000392676","17",0.3461,23461,"ABCA5","ABCA5-001",-1,"q24.3",8220
"ABCA6","ENSG00000154262","ENST00000590311","17",0.363,23460,"ABCA6","ABCA6-004",-1,"q24.3",8186
"ABCA7","ENSG00000064687","ENST00000263094","19",0.6048,10347,"ABCA7","ABCA7-001",1,"p13.3",6816
"ABCA8","ENSG00000141338","ENST00000269080","17",0.3681,10351,"ABCA8","ABCA8-001",-1,"q24.2",5677
"ABCA9","ENSG00000154258","ENST00000340001","17",0.3768,10350,"ABCA9","ABCA9-001",-1,"q24.2",6514
"ABCB1","ENSG00000085563","ENST00000265724","7",0.3705,5243,"ABCB1","ABCB1-001",-1,"q21.12",4645
"ABCB10","ENSG00000135776","ENST00000344517","1",0.4362,23456,"ABCB10","ABCB10-001",-1,"q42.13",3857
"ABCB11","ENSG00000263298","ENST00000576612","HSCHR2_1_CTG12",0.3693,8647,"ABCB11","ABCB11-001",-1,"q31.1",4775
"ABCB4","ENSG00000005471","ENST00000265723","7",0.386,5244,"ABCB4","ABCB4-002",-1,"q21.12",4020
"ABCB5","ENSG00000004846","ENST00000404938","7",0.3773,340273,"ABCB5","ABCB5-004",1,"p21.1",5811
"ABCB6","ENSG00000115657","ENST00000265316","2",0.5446,10058,"ABCB6","ABCB6-001",-1,"q35",3016
"ABCB7","ENSG00000131269","ENST00000253577","X",0.3599,22,"ABCB7","ABCB7-001",-1,"q13.3",2377
"ABCB8","ENSG00000197150","ENST00000358849","7",0.5704,11194,"ABCB8","ABCB8-005",1,"q36.1",4683
"ABCB9","ENSG00000150967","ENST00000542678","12",0.5247,23457,"ABCB9","ABCB9-001",-1,"q24.31",6051
"ABCC1","ENSG00000103222","ENST00000399408","16",0.4848,4363,"ABCC1","ABCC1-205",1,"p13.11",6594
"ABCC10","ENSG00000124574","ENST00000244533","6",0.5294,89845,"ABCC10","ABCC10-007",1,"p21.1",5088
"ABCC11","ENSG00000121270","ENST00000394747","16",0.4562,85320,"ABCC11","ABCC11-004",-1,"q12.1",4862
"ABCC12","ENSG00000140798","ENST00000311303","16",0.4716,94160,"ABCC12","ABCC12-001",-1,"q12.1",5168
"ABCC13","ENSG00000243064","ENST00000481582","21",0.3649,150000,"ABCC13","ABCC13-002",1,"q11.2",4080
"ABCC2","ENSG00000023839","ENST00000370449","10",0.4512,1244,"ABCC2","ABCC2-001",1,"q24.2",5312
"ABCC3","ENSG00000108846","ENST00000285238","17",0.5195,8714,"ABCC3","ABCC3-001",1,"q21.33",5716
"ABCC4","ENSG00000125257","ENST00000376887","13",0.4233,10257,"ABCC4","ABCC4-001",-1,"q32.1",5837
"ABCC5","ENSG00000114770","ENST00000334444","3",0.447,10057,"ABCC5","ABCC5-001",-1,"q27.1",5921
"ABCC6","ENSG00000091262","ENST00000205557","16",0.4986,101930322,"ABCC6","ABCC6-001",-1,"p13.11",5747
"ABCC6P1","ENSG00000256340","ENST00000546162","16",0.4792,653190,"ABCC6P1","ABCC6P1-004",1,"p12.3",2943
"ABCC6P2","ENSG00000255277","ENST00000542005","16",0.4925,101927428,"ABCC6P2","ABCC6P2-201",-1,"p13.11",717
"ABCC8","ENSG00000006071","ENST00000302539","11",0.5003,6833,"ABCC8","ABCC8-201",-1,"p15.1",4981
"ABCC9","ENSG00000069431","ENST00000261200","12",0.3598,10060,"ABCC9","ABCC9-001",-1,"p12.1",8293
"ABCD1","ENSG00000101986","ENST00000218104","X",0.5836,215,"ABCD1","ABCD1-001",1,"q28",3664
"ABCD2","ENSG00000173208","ENST00000308666","12",0.3495,225,"ABCD2","ABCD2-001",-1,"q12",6238
"ABCD3","ENSG00000117528","ENST00000484213","1",0.3707,5825,"ABCD3","ABCD3-003",1,"p21.3",4367
"ABCD4","ENSG00000119688","ENST00000489678","14",0.5147,5826,"ABCD4","ABCD4-015",-1,"q24.3",3008
"ABCE1","ENSG00000164163","ENST00000296577","4",0.3508,6059,"ABCE1","ABCE1-001",1,"q31.21",3921
"ABCF1","ENSG00000204574","ENST00000326195","6",0.4797,23,"ABCF1","ABCF1-001",1,"p21.33",3481
"ABCF2","ENSG00000033050","ENST00000287844","7",0.4919,10061,"ABCF2","ABCF2-001",-1,"q36.1",3546
"ABCF3","ENSG00000161204","ENST00000473311","3",0.5195,55324,"ABCF3","ABCF3-003",1,"q27.1",2844
"ABCG1","ENSG00000160179","ENST00000398437","21",0.5102,9619,"ABCG1","ABCG1-008",1,"q22.3",3475
"ABCG2","ENSG00000118777","ENST00000237612","4",0.414,9429,"ABCG2","ABCG2-001",-1,"q22.1",4479
"ABCG4","ENSG00000172350","ENST00000307417","11",0.5449,64137,"ABCG4","ABCG4-001",1,"q23.3",3849
"ABCG5","ENSG00000138075","ENST00000486512","2",0.4518,64240,"ABCG5","ABCG5-003",-1,"p21",3033
"ABCG8","ENSG00000143921","ENST00000272286","2",0.4573,64241,"ABCG8","ABCG8-001",1,"p21",2665
"ABHD1","ENSG00000143994","ENST00000316470","2",0.5065,84696,"ABHD1","ABHD1-001",1,"p23.3",1400
"ABHD10","ENSG00000144827","ENST00000273359","3",0.3584,55347,"ABHD10","ABHD10-001",1,"q13.2",2590
"ABHD11","ENSG00000106077","ENST00000497897","7",0.5995,83451,"ABHD11","ABHD11-005",-1,"q11.23",1562
"ABHD12","ENSG00000100997","ENST00000339157","20",0.4742,26090,"ABHD12","ABHD12-001",-1,"p11.21",2117
"ABHD12B","ENSG00000131969","ENST00000554241","14",0.4281,100616234,"ABHD12B","ABHD12B-005",1,"q22.1",2863
"ABHD13","ENSG00000139826","ENST00000375898","13",0.3543,84945,"ABHD13","ABHD13-001",1,"q33.3",5338
